Item,Recommended_LCSC_PN,Package,JLCPCB_Type,URL,Unit Price,Amount,Total,
EEG Electrodes,,,,https://ar.aliexpress.com/item/1005003431845612.html?spm=a2g0o.productlist.main.8.590dhnlwhnlwyA&algo_pvid=3f3f9c85-87e4-43f8-971d-ec09da9cbb5b&algo_exp_id=3f3f9c85-87e4-43f8-971d-ec09da9cbb5b-7&pdp_ext_f=%7B%22order%22%3A%2247%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EGP%211265.42%211265.42%21%21%2124.00%2124.00%21%40213ba8cc17621075265792275ef431%2112000025761673763%21sea%21EG%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9358610f%3Bm03_new_user%3A-29895&curPageLogUid=TJmvYjdGyCeK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003431845612%7C_p_origin_prod%3A,26.75,2,53.5,
100nF (Original 6.3V),C1525,402,Basic,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525, $0.01,4,4,
,,,,,,,,
10nF,C1524,402,Basic,https://jlcpcb.com/partdetail/1876-0402B103K500NT/C1524,$0.01 ,9,0.09,
1μF,C15684,402,Basic,https://jlcpcb.com/partdetail/MurataElectronics-GRM155R60J105KE19D/C15684,$0.01 ,7,0.07,
10μF,C15849,402,Basic,,$0.01 ,1,0.01,
10μF (Electrolytic),C86604,CP_Elec_5x5.4,Extended,https://jlcpcb.com/partdetail/HonorElec-RVT1E100M0505/C86604,$0.03 ,2,0.06,
10kΩ,C25804,603,Basic,https://jlcpcb.com/partdetail/26547-0603WAF1002T5E/C25804,0.01,6,0.06,
1MΩ,C26083,402,Extended,https://jlcpcb.com/partdetail/26826-0402WGF1004TCE/C26083,0.01,1,0.01,
5kΩ,C477765,402,Extended,https://jlcpcb.com/partdetail/YAGEO-RC0402FR075KL/C477765,$0.01 ,16,0.16,
3.3V LDO,C5018 (AMS1117-3.3),SOT-223,Basic,https://jlcpcb.com/partdetail/Advanced_MonolithicSystems-AMS1117_33/C6186,0.16,1,0.16,
5V LDO,C5019 (AMS1117-5.0),SOT-223,Basic,https://jlcpcb.com/partdetail/Advanced_MonolithicSystems-AMS1117_50/C6187,0.19,1,0.19,
P-MOSFET (SOT-23),C10487,SOT-23,Basic,https://jlcpcb.com/partdetail/VishayIntertech-SI2301CDS_T1GE3/C10487,0.05,1,0.05,
FQD4P50 (P-MOSFET),C17265,SMD:SOT-223,Extended,https://jlcpcb.com/partdetail/onsemi-NTF2955T1G/C17265,0.47,1,0.47,
Conn 1×01 Pin,C2938454,SMT Pin Header,Basic,https://jlcpcb.com/partdetail/3294834-KH_2PH180_1X10P_L87/C2938454,0.05,2,0.1,
ADS1299IPAGR,C476817,TQFP-64(10x10),Economic and Standard,https://jlcpcb.com/partdetail/TexasInstruments-ADS1299IPAGR/C476817,30.66,1,30.66,
,,,,,,,,
,,,,,,,,
Total,,,,,,,89.59,
